Bos-MacBook-Pro:newCRF bozheng$ crf_learn -f 3 -p 4 templatetest.txt training2.data resultmodel
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data:
Done!9.96 s

Number of sentences: 1
Number of features:  20694
Number of thread(s): 4
Freq:                3
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.97941 serr=1.00000 act=20694 obj=62657.82864 diff=1.00000
iter=1 terr=0.43635 serr=1.00000 act=20694 obj=83612.84367 diff=0.33444
iter=2 terr=0.43635 serr=1.00000 act=20694 obj=33061.06118 diff=0.60459
iter=3 terr=0.29634 serr=1.00000 act=20694 obj=31514.30120 diff=0.04678
iter=4 terr=0.12388 serr=1.00000 act=20694 obj=21978.28516 diff=0.30259
iter=5 terr=0.12425 serr=1.00000 act=20694 obj=20927.46231 diff=0.04781
iter=6 terr=0.12445 serr=1.00000 act=20694 obj=18962.15703 diff=0.09391
iter=7 terr=0.12313 serr=1.00000 act=20694 obj=18084.64307 diff=0.04628
iter=8 terr=0.12488 serr=1.00000 act=20694 obj=16907.60350 diff=0.06509
iter=9 terr=0.11956 serr=1.00000 act=20694 obj=13327.10828 diff=0.21177
iter=10 terr=0.11916 serr=1.00000 act=20694 obj=12437.71731 diff=0.06674
iter=11 terr=0.11784 serr=1.00000 act=20694 obj=11867.41492 diff=0.04585
iter=12 terr=0.09971 serr=1.00000 act=20694 obj=10430.30439 diff=0.12110
iter=13 terr=0.08510 serr=1.00000 act=20694 obj=9385.32921 diff=0.10019
iter=14 terr=0.06731 serr=1.00000 act=20694 obj=9113.75615 diff=0.02894
iter=15 terr=0.06011 serr=1.00000 act=20694 obj=6838.91431 diff=0.24961
iter=16 terr=0.05951 serr=1.00000 act=20694 obj=6363.76638 diff=0.06948
iter=17 terr=0.05562 serr=1.00000 act=20694 obj=5923.80019 diff=0.06914
iter=18 terr=0.05591 serr=1.00000 act=20694 obj=5773.23623 diff=0.02542
iter=19 terr=0.05619 serr=1.00000 act=20694 obj=5679.71744 diff=0.01620
iter=20 terr=0.05891 serr=1.00000 act=20694 obj=5428.18353 diff=0.04429
iter=21 terr=0.05959 serr=1.00000 act=20694 obj=4976.38428 diff=0.08323
iter=22 terr=0.05316 serr=1.00000 act=20694 obj=4368.94138 diff=0.12207
iter=23 terr=0.04941 serr=1.00000 act=20694 obj=4726.47664 diff=0.08184
iter=24 terr=0.04361 serr=1.00000 act=20694 obj=4175.13357 diff=0.11665
iter=25 terr=0.04255 serr=1.00000 act=20694 obj=3993.60739 diff=0.04348
iter=26 terr=0.04215 serr=1.00000 act=20694 obj=3915.79807 diff=0.01948
iter=27 terr=0.04026 serr=1.00000 act=20694 obj=3798.43183 diff=0.02997
iter=28 terr=0.03992 serr=1.00000 act=20694 obj=3547.75826 diff=0.06599
iter=29 terr=0.05222 serr=1.00000 act=20694 obj=3882.78002 diff=0.09443
iter=30 terr=0.03943 serr=1.00000 act=20694 obj=3418.96331 diff=0.11945
iter=31 terr=0.03975 serr=1.00000 act=20694 obj=3269.29820 diff=0.04377
iter=32 terr=0.04023 serr=1.00000 act=20694 obj=3151.11814 diff=0.03615
iter=33 terr=0.03989 serr=1.00000 act=20694 obj=2970.03126 diff=0.05747
iter=34 terr=0.03563 serr=1.00000 act=20694 obj=2761.05973 diff=0.07036
iter=35 terr=0.03758 serr=1.00000 act=20694 obj=2450.22514 diff=0.11258
iter=36 terr=0.03503 serr=1.00000 act=20694 obj=2216.08698 diff=0.09556
iter=37 terr=0.03411 serr=1.00000 act=20694 obj=2089.85783 diff=0.05696
iter=38 terr=0.04284 serr=1.00000 act=20694 obj=2128.48338 diff=0.01848
iter=39 terr=0.03726 serr=1.00000 act=20694 obj=2011.70767 diff=0.05486
iter=40 terr=0.03686 serr=1.00000 act=20694 obj=1965.32648 diff=0.02306
iter=41 terr=0.03635 serr=1.00000 act=20694 obj=1882.42753 diff=0.04218
iter=42 terr=0.03263 serr=1.00000 act=20694 obj=1696.01025 diff=0.09903
iter=43 terr=0.03071 serr=1.00000 act=20694 obj=1533.36621 diff=0.09590
iter=44 terr=0.02963 serr=1.00000 act=20694 obj=1458.26651 diff=0.04898
iter=45 terr=0.02757 serr=1.00000 act=20694 obj=1421.03021 diff=0.02553
iter=46 terr=0.03060 serr=1.00000 act=20694 obj=1407.14917 diff=0.00977
iter=47 terr=0.03131 serr=1.00000 act=20694 obj=1379.84380 diff=0.01940
iter=48 terr=0.03088 serr=1.00000 act=20694 obj=1298.60064 diff=0.05888
iter=49 terr=0.02439 serr=1.00000 act=20694 obj=1157.52867 diff=0.10863
iter=50 terr=0.02531 serr=1.00000 act=20694 obj=1100.32229 diff=0.04942
iter=51 terr=0.02353 serr=1.00000 act=20694 obj=1074.47855 diff=0.02349
iter=52 terr=0.02348 serr=1.00000 act=20694 obj=1058.67549 diff=0.01471
