,file_name,is_alpha,text_in_header,is_num,is_alphanum,is_blank,is_nullDefault,all_small,all_capital,starts_capital,contain_colon,contain_special,text_length,year_range,has_merge_cell,right_align,left_align,center_align,italics_font,underline_font,bold_font,left_alpha,left_in_header,left_num,left_alphanum,left_blank,above_alpha,above_in_header,above_num,above_alphanum,above_blank,below_alpha,below_in_header,below_num,below_alphanum,below_blank,right_alpha,right_in_header,right_num,right_alphanum,right_blank,label,K0,K1,K2,K3,K4,K5,K6,K7
0,"00sumdats.xlsx___TSP___[1,1]",0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,NDC,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
1,"00sumdats.xlsx___TSP___[1,2]",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,NDC,2.0,-2.0,-2.0,0.0,2.0,-2.0,0.0,2.0
2,"00sumdats.xlsx___TSP___[1,3]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,NDC,0.0,-2.0,-2.0,2.0,2.0,-2.0,2.0,0.0
3,"00sumdats.xlsx___TSP___[1,4]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,NDC,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
4,"00sumdats.xlsx___TSP___[1,5]",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,CH,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
5,"00sumdats.xlsx___TSP___[1,6]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,DS,2.0,-2.0,-2.0,0.0,2.0,-2.0,0.0,2.0
6,"00sumdats.xlsx___TSP___[1,7]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
7,"00sumdats.xlsx___TSP___[1,8]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
8,"00sumdats.xlsx___TSP___[1,9]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
9,"00sumdats.xlsx___TSP___[1,10]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
10,"00sumdats.xlsx___TSP___[1,11]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
11,"00sumdats.xlsx___TSP___[1,12]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
12,"00sumdats.xlsx___TSP___[1,13]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
13,"00sumdats.xlsx___TSP___[1,14]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
14,"00sumdats.xlsx___TSP___[1,15]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
15,"00sumdats.xlsx___TSP___[1,16]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,DC,1.0,-3.0,-3.0,1.0,3.0,-3.0,1.0,1.0
