CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data:
Done!2.68 s

Number of sentences: 1
Number of features:  9010
Number of thread(s): 4
Freq:                3
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.95853 serr=1.00000 act=9010 obj=26195.21146 diff=1.00000
iter=1 terr=0.38124 serr=1.00000 act=9010 obj=63319.55744 diff=1.41722
iter=2 terr=0.38124 serr=1.00000 act=9010 obj=18325.96666 diff=0.71058
iter=3 terr=0.38124 serr=1.00000 act=9010 obj=14859.60592 diff=0.18915
iter=4 terr=0.33921 serr=1.00000 act=9010 obj=14324.40883 diff=0.03602
iter=5 terr=0.15723 serr=1.00000 act=9010 obj=13061.85417 diff=0.08814
iter=6 terr=0.15686 serr=1.00000 act=9010 obj=10714.64998 diff=0.17970
iter=7 terr=0.15532 serr=1.00000 act=9010 obj=9363.78884 diff=0.12608
iter=8 terr=0.15495 serr=1.00000 act=9010 obj=8402.96109 diff=0.10261
iter=9 terr=0.15237 serr=1.00000 act=9010 obj=8050.08553 diff=0.04199
iter=10 terr=0.14119 serr=1.00000 act=9010 obj=7675.25869 diff=0.04656
iter=11 terr=0.13670 serr=1.00000 act=9010 obj=7390.99481 diff=0.03704
iter=12 terr=0.13382 serr=1.00000 act=9010 obj=7201.19919 diff=0.02568
iter=13 terr=0.13148 serr=1.00000 act=9010 obj=7000.32174 diff=0.02790
iter=14 terr=0.12165 serr=1.00000 act=9010 obj=6426.60870 diff=0.08196
iter=15 terr=0.23999 serr=1.00000 act=9010 obj=10104.61030 diff=0.57231
iter=16 terr=0.11532 serr=1.00000 act=9010 obj=6247.62757 diff=0.38171
iter=17 terr=0.10998 serr=1.00000 act=9010 obj=5704.68907 diff=0.08690
iter=18 terr=0.11741 serr=1.00000 act=9010 obj=6248.57498 diff=0.09534
iter=19 terr=0.10476 serr=1.00000 act=9010 obj=5489.99761 diff=0.12140
iter=20 terr=0.10285 serr=1.00000 act=9010 obj=5445.11081 diff=0.00818
iter=21 terr=0.10279 serr=1.00000 act=9010 obj=5311.15610 diff=0.02460
iter=22 terr=0.10476 serr=1.00000 act=9010 obj=5251.66433 diff=0.01120
iter=23 terr=0.10531 serr=1.00000 act=9010 obj=5164.79159 diff=0.01654
iter=24 terr=0.10230 serr=1.00000 act=9010 obj=4981.38570 diff=0.03551
iter=25 terr=0.09892 serr=1.00000 act=9010 obj=4746.05950 diff=0.04724
iter=26 terr=0.10088 serr=1.00000 act=9010 obj=4693.00000 diff=0.01118
iter=27 terr=0.09523 serr=1.00000 act=9010 obj=4542.63082 diff=0.03204
iter=28 terr=0.09517 serr=1.00000 act=9010 obj=4467.39670 diff=0.01656
iter=29 terr=0.09388 serr=1.00000 act=9010 obj=4277.42147 diff=0.04252
iter=30 terr=0.09400 serr=1.00000 act=9010 obj=4288.19552 diff=0.00252
iter=31 terr=0.09339 serr=1.00000 act=9010 obj=4242.06195 diff=0.01076
iter=32 terr=0.09210 serr=1.00000 act=9010 obj=4192.09862 diff=0.01178
iter=33 terr=0.09081 serr=1.00000 act=9010 obj=4138.46243 diff=0.01279
iter=34 terr=0.08878 serr=1.00000 act=9010 obj=4063.45515 diff=0.01812
iter=35 terr=0.08608 serr=1.00000 act=9010 obj=4092.61725 diff=0.00718
iter=36 terr=0.08688 serr=1.00000 act=9010 obj=4033.42359 diff=0.01446
iter=37 terr=0.08522 serr=1.00000 act=9010 obj=3977.58775 diff=0.01384
iter=38 terr=0.08417 serr=1.00000 act=9010 obj=3922.08564 diff=0.01395
iter=39 terr=0.08454 serr=1.00000 act=9010 obj=3870.33862 diff=0.01319
iter=40 terr=0.08577 serr=1.00000 act=9010 obj=3826.25745 diff=0.01139
iter=41 terr=0.08460 serr=1.00000 act=9010 obj=3780.51429 diff=0.01196
iter=42 terr=0.08516 serr=1.00000 act=9010 obj=3756.17790 diff=0.00644
iter=43 terr=0.08436 serr=1.00000 act=9010 obj=3734.59006 diff=0.00575
iter=44 terr=0.08313 serr=1.00000 act=9010 obj=3707.62820 diff=0.00722
iter=45 terr=0.08147 serr=1.00000 act=9010 obj=3690.06830 diff=0.00474
iter=46 terr=0.08049 serr=1.00000 act=9010 obj=3654.44586 diff=0.00965
iter=47 terr=0.07809 serr=1.00000 act=9010 obj=3624.49060 diff=0.00820
iter=48 terr=0.07766 serr=1.00000 act=9010 obj=3600.29689 diff=0.00668
iter=49 terr=0.07692 serr=1.00000 act=9010 obj=3586.51144 diff=0.00383
iter=50 terr=0.07594 serr=1.00000 act=9010 obj=3568.85572 diff=0.00492
iter=51 terr=0.07397 serr=1.00000 act=9010 obj=3543.47655 diff=0.00711
iter=52 terr=0.07361 serr=1.00000 act=9010 obj=3517.91447 diff=0.00721
iter=53 terr=0.07182 serr=1.00000 act=9010 obj=3491.17536 diff=0.00760
iter=54 terr=0.07158 serr=1.00000 act=9010 obj=3476.34530 diff=0.00425
