11a10.xls, Sheet1, data_5192191588589314.xls, Sheet1, 1
11a10.xlsx, Sheet1, data_24080498839080544.xls, Sheet1, 1
1810.xls, Sheet1, data_6640929716194851.xls, Sheet1, 1
1910.xls, Sheet1, data_5735089360208037.xls, Sheet1, 1
201007_Wecoma_water_sample_bacteria_production.xls, metadata, data_8259008539064511.xls, metadata, 1
201007_Wecoma_water_sample_bacteria_production.xls, data, data_8259008539064511.xls, data, 1
201007_Wecoma_water_sample_bacteria_production.xls, Sheet3, data_8259008539064511.xls, Sheet3, 1
201007_Wecoma_water_sample_dissolved_organic_carbon.xls, metadata, data_5152343606645938.xls, metadata, 1
201007_Wecoma_water_sample_dissolved_organic_carbon.xls, data, data_5152343606645938.xls, data, 1
201007_Wecoma_water_sample_dissolved_organic_carbon.xls, Sheet3, data_5152343606645938.xls, Sheet3, 1
201007_Wecoma_water_sample_particulate_organic_carbon_nitrogen.xls, metadata, data_352446569293012.xls, metadata, 1
201007_Wecoma_water_sample_particulate_organic_carbon_nitrogen.xls, data, data_352446569293012.xls, data, 1
201007_Wecoma_water_sample_particulate_organic_carbon_nitrogen.xls, Sheet3, data_352446569293012.xls, Sheet3, 1
201007_Wecoma_water_sample_suspended_particulate_matter_0.xls, metadata, data_8314151931463817.xls, metadata, 1
201007_Wecoma_water_sample_suspended_particulate_matter_0.xls, data, data_8314151931463817.xls, data, 1
201007_Wecoma_water_sample_suspended_particulate_matter_0.xls, Sheet3, data_8314151931463817.xls, Sheet3, 1
201007_Wecoma_water_sample_total_dissolved_nitrogen_phosphorous.xls, metadata, data_6136289240971899.xls, metadata, 1
201007_Wecoma_water_sample_total_dissolved_nitrogen_phosphorous.xls, data, data_6136289240971899.xls, data, 1
201007_Wecoma_water_sample_total_dissolved_nitrogen_phosphorous.xls, Sheet3, data_6136289240971899.xls, Sheet3, 1
2310.xls, Sheet1, data_8914069115952443.xls, Sheet1, 1
2610.xls, Sheet1, data_8012560980953547.xls, Sheet1, 1
26a10.xls, Sheet1, data_005500333540393476.xls, Sheet1, 1
910.xls, Sheet1, data_08088351743368571.xls, Sheet1, 1
Analytics_DNH_Research_Edition_Top_Events_20120118-20120119afxdrankalttry.xls, Analytics_DNH_Research_Edition_, data_979545622512701.xls, Analytics_DNH_Research_Edition_, 1
Chl-Wecoma-Aug2010.xls, Sheet1, data_20517730187984706.xls, Sheet1, 1
CMOP_Cruise_July2010_correctedLydie24Mar2011.xls, dataLog, data_0012440702305220874.xls, dataLog, 1
dnhperftbls.xls, dnhperf, data_317617104830053.xls, dnhperf, 1
dnhperftbls.xls, 8f relaxation, data_317617104830053.xls, 8f relaxation, 1
dnhperftbls.xls, 8f variables, data_317617104830053.xls, 8f variables, 1
dnhperftbls8f.xls, 8f relaxation, data_05757818673725923.xls, 8f relaxation, 1
GOA2007-Leg1-C14-071508.xls, 081807-LIGHTLEVELS, data_3732999432948232.xls, 081807-LIGHTLEVELS, 1
GOA2007-Leg1-C14-071508.xls, CHLOROPHYLL, data_3732999432948232.xls, CHLOROPHYLL, 1
GOA2007-Leg1-C14-071508.xls, SUMMARY CTD, data_3732999432948232.xls, SUMMARY CTD, 1
GOA2007-Leg1-C14-071508.xls, C001, data_3732999432948232.xls, C001, 1
GOA2007-Leg1-C14-071508.xls, C007, data_3732999432948232.xls, C007, 1
GOA2007-Leg1-C14-071508.xls, C012, data_3732999432948232.xls, C012, 1
GOA2007-Leg1-C14-071508.xls, C017, data_3732999432948232.xls, C017, 1
GOA2007-Leg1-C14-071508.xls, C019, data_3732999432948232.xls, C019, 1
GOA2007-Leg1-C14-071508.xls, C023, data_3732999432948232.xls, C023, 1
GOA2007-Leg1-C14-071508.xls, C024,C025, data_3732999432948232.xls, C024,C025, 1
GOA2007-Leg1-C14-071508.xls, C027, data_3732999432948232.xls, C027, 1
GOA2007-Leg1-C14-071508.xls, C029, data_3732999432948232.xls, C029, 1
GOA2007-Leg1-C14-071508.xls, C030, data_3732999432948232.xls, C030, 1
GOA2007-Leg1-C14-071508.xls, C031, data_3732999432948232.xls, C031, 1
GOA2007-Leg1-C14-071508.xls, HNLCG1, data_3732999432948232.xls, HNLCG1, 1
GOA2007-Leg1-C14-071508.xls, PE1--CG1D0, data_3732999432948232.xls, PE1--CG1D0, 1
